barcode,product_family_id,product_title,season,nivel,brand_origin,color_name,color_group,color_intensity,adventurous,application,weather,style,print,basic,fit
1034318,SKIRT,Vmdonnadina Skirt suede,9,1,MAINSTREAM,green_dark,green,oscuro,"('three', 'four')",freetime,cold,"('street', 'classic')",smooth,false,straight
960816,SKIRT,Vmdonnadina Skirt suede,8,1,MAINSTREAM,blue_light,blue,claro,"('three', 'four')",freetime,cold,"('street', 'classic')",smooth,false,straight
1257045,SKIRT,Vmdonnadina Skirt suede,9,1,MAINSTREAM,black,black,oscuro,"('three', 'four')",freetime,cold,"('street', 'classic')",smooth,false,straight
1177428,PANT,Miniprint Pant belt ,8,1,WHOLE_SALE,blue_dark,blue,oscuro,"('two', 'three')","('work', 'working_girl', 'freetime')",cold,classic,miniprint,false,tight
1116229,JUMPSUIT,Millie Jumpsuit linen,9,1,NO_MAINSTREAM,black,black,oscuro,"('two', 'three')","('work', 'freetime')",warm,"('street', 'boho')",smooth,false,straight
1290349,SHIRT,Mix Shirt majo,9,2,WHOLE_SALE,black,black,oscuro,three,"('work', 'freetime')",cold,"('street', 'boho')",animal_print,false,loose
1290387,SHIRT,Mix Shirt majo,9,2,WHOLE_SALE,ecru,brown,suave,three,"('work', 'freetime')",cold,"('street', 'boho')",animal_print,false,loose
746724,CARDIGAN,Lulu Cardigan long ,7,2,WHOLE_SALE,gray_light,grey,suave,two,"('work', 'freetime')",both,"('casual', 'classic')",smooth,false,straight
746755,CARDIGAN,Lulu Cardigan long ,7,2,WHOLE_SALE,camel,brown,claro,two,"('work', 'freetime')",both,"('casual', 'classic')",smooth,false,straight
746731,CARDIGAN,Lulu Cardigan long ,7,2,WHOLE_SALE,mustand,yellow,intenso,two,"('work', 'freetime')",both,"('casual', 'classic')",smooth,false,straight
746717,CARDIGAN,Lulu Cardigan long ,7,2,WHOLE_SALE,black,black,oscuro,two,"('work', 'freetime')",both,"('casual', 'classic')",smooth,false,straight
746748,CARDIGAN,Lulu Cardigan long ,7,2,WHOLE_SALE,green_dark,green,oscuro,two,"('work', 'freetime')",both,"('casual', 'classic')",smooth,false,straight
1271072,JACKET,Sheep Jacket leather,9,3,OWN_PRODUCTION,black,black,oscuro,three,freetime,cold,"('street', 'boho')",smooth,false,tight
1271157,JACKET,Sheep Jacket leather,9,3,OWN_PRODUCTION,brick,brown,intenso,three,freetime,cold,"('street', 'boho')",smooth,false,tight
694889,TSHIRT,Objtessi Tshirt slub,7,2,NO_MAINSTREAM,brown,brown,oscuro,two,freetime,warm,"('casual', 'boho')",horizontal_stripes,false,straight
1029956,TSHIRT,Objtessi Tshirt slub,9,2,NO_MAINSTREAM,white,white,claro,two,freetime,warm,"('casual', 'boho')",horizontal_stripes,false,straight
1030006,TSHIRT,Objtessi Tshirt slub,9,2,NO_MAINSTREAM,black,black,oscuro,two,freetime,warm,"('casual', 'boho')",horizontal_stripes,false,straight
1030051,TSHIRT,Objtessi Tshirt slub,9,2,NO_MAINSTREAM,khaki,green,oscuro,two,freetime,warm,"('casual', 'boho')",horizontal_stripes,false,straight
811293,TSHIRT,Objtessi Tshirt slub,7,2,NO_MAINSTREAM,yellow,yellow,intenso,two,freetime,warm,"('casual', 'boho')",horizontal_stripes,false,straight
568272,TSHIRT,Objtessi Tshirt slub,7,2,NO_MAINSTREAM,blue,blue,intenso,two,freetime,warm,"('casual', 'boho')",horizontal_stripes,false,straight
1263305,JACKET,Lavender Jacket bomber,9,3,WHOLE_SALE,blue_dark,blue,oscuro,"('three', 'two')",freetime,warm,"('boho', 'street')",floral,false,loose
1116021,DRESS,Jessica Dress fruit,9,1,NO_MAINSTREAM,black,black,oscuro,four,"('work', 'freetime')",warm,street,printed,false,loose
1346084,TSHIRT,Makeup Tshirt daphnea ,9,2,NO_MAINSTREAM,green_dark,green,oscuro,two,"('work', 'freetime')",warm,"('casual', 'street')",smooth,false,straight
1058802,SWEATER,Onsuzana Pullover knit ,9,2,MAINSTREAM,blue_dark,blue,oscuro,"('three', 'two')","('work', 'freetime')",cold,"('classic', 'casual')",horizontal_stripes,false,straight
584807,SWEATER,Onsuzana Pullover knit ,7,2,MAINSTREAM,black,black,oscuro,"('three', 'two')","('work', 'freetime')",cold,"('classic', 'casual')",horizontal_stripes,false,straight
1058833,SWEATER,Onsuzana Pullover knit ,9,2,MAINSTREAM,black,black,oscuro,"('three', 'two')","('work', 'freetime')",cold,"('classic', 'casual')",horizontal_stripes,false,straight
766081,JEANS,Jrqueen Jeans denim ,7,1,MAINSTREAM,blue_dark,blue,oscuro,"('one', 'two')",freetime,both,"('casual', 'street')",smooth,false,tight
1258653,JEANS,Jrqueen Jeans denim ,8,1,MAINSTREAM,blue_dark,blue,oscuro,"('one', 'two')",freetime,both,"('casual', 'street')",smooth,false,tight
1002232,JEANS,Hizto Jean denim,7,1,MAINSTREAM,blue,blue,intenso,"('two', 'three')",freetime,both,"('casual', 'street')",smooth,false,tight
1464368,DRESS,Viril Dress noos ,9,1,MAINSTREAM,gray_light,grey,suave,one,"('work', 'freetime')",cold,"('classic', 'minimal')",smooth,true,straight
1464375,DRESS,Viril Dress noos ,9,1,MAINSTREAM,blue_dark,blue,oscuro,one,"('work', 'freetime')",cold,"('classic', 'minimal')",smooth,true,straight
951951,TSHIRT,Ikdebardeur T-shirt less,8,2,PREMIUM,ecru,brown,suave,three,freetime,warm,street,smooth,false,straight
1195156,SHIRT,Constelly Top closet,9,2,OWN_PRODUCTION,blue_dark,blue,oscuro,two,freetime,warm,boho,printed,false,loose
1398991,TRENCH,Florida Trench sof ,9,3,WHOLE_SALE,blue_dark,blue,oscuro,"('two', 'one')","('work', 'freetime', 'working_girl')",cold,classic,smooth,false,straight
1398939,TRENCH,Florida Trench sof ,9,3,WHOLE_SALE,black,black,oscuro,"('two', 'one')","('work', 'freetime', 'working_girl')",cold,classic,smooth,false,straight
776059,TRENCH,Florida Trench sof ,7,3,WHOLE_SALE,garnet,red,oscuro,"('two', 'one')","('work', 'freetime', 'working_girl')",cold,classic,smooth,false,straight
776004,TRENCH,Florida Trench sof ,7,3,WHOLE_SALE,black,black,oscuro,"('two', 'one')","('work', 'freetime', 'working_girl')",cold,classic,smooth,false,straight
1398960,TRENCH,Florida Trench sof ,9,3,WHOLE_SALE,khaki,green,oscuro,"('two', 'one')","('work', 'freetime', 'working_girl')",cold,classic,smooth,false,straight
706070,SWEATSHIRT,Astra Sweatshirt ward ,7,2,OWN_PRODUCTION,blue,blue,intenso,"('two', 'three')",freetime,warm,"('casual', 'minimal')",smooth,false,straight
706056,SWEATSHIRT,Astra Sweatshirt ward ,7,2,OWN_PRODUCTION,grey_dark,grey,oscuro,"('two', 'three')",freetime,warm,"('casual', 'minimal')",smooth,false,straight
1022469,SKIRT,Vipen Falda poly ,9,1,MAINSTREAM,black,black,oscuro,"('three', 'four')","('night', 'freetime')",both,"('night', 'street', 'boho')",smooth,false,tight
755672,SKIRT,Vipen Falda poly ,8,1,MAINSTREAM,black,black,oscuro,"('three', 'four')","('night', 'freetime')",both,"('night', 'street', 'boho')",smooth,false,tight
